path	bytes	exists
/scratch/inf0/user/agaur/wai-26/test_submission/qwen35_27b_dual_view_fusion_v1	0	no
/scratch/inf0/user/agaur/wai-26/test_submission/qwen35_27b_dual_view_fusion_v2/starter_kit	0	no
/scratch/inf0/user/agaur/wai-26/test_submission/qwen35_27b_dual_view_fusion_v2/artifacts/kth-saar-qwen35-dual-view-v2.tar	0	no
/scratch/inf0/user/agaur/wai-26/test_submission/qwen35_27b_dual_view_fusion_v2/artifacts/crane-cache	0	no
/scratch/inf0/user/agaur/wai-26/test_submission/qwen35_27b_dual_view_fusion_v2/artifacts/apptainer	0	no
/scratch/inf0/user/agaur/wai-26/test_submission/qwen35_27b_dual_view_fusion_v2/artifacts/link_test	0	no
/scratch/inf0/user/agaur/wai-26/envs/nvila-autogaze	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/transformers	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--OpenGVLab--InternVL3_5-30B-A3B-Flash	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--Qwen--Qwen3.5-9B	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--Qwen--Qwen3.8-27B	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--Qwen--Qwen3-VL-8B-Thinking	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--Qwen--Qwen3-VL-Embedding-2B	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--Qwen--Qwen3-VL-Reranker-2B	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--VideoJudge--Qwen2.5-VL-7B-Instruct-VideoJudgeWithRubric-RS-20K	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--allenai--Molmo2-8B	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--google--siglip-base-patch16-224	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--openbmb--MiniCPM-V-4_5	0	no
/scratch/inf0/user/agaur/wai-26/cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L6-v2	0	no
/scratch/inf0/user/agaur/wai-26/cache/triton	0	no
/scratch/inf0/user/agaur/wai-26/cache/flashinfer_workspace	0	no
/scratch/inf0/user/agaur/wai-26/cache/cuda	0	no
/tmp/wai-docker-config	0	no
/tmp/wai-registry-tools	0	no
/tmp/wai-ecr-layer-url	0	no
